date,1. open,2. high,3. low,4. close,5. volume
2024-10-10 19:59:00,134.7195,134.79,134.71,134.79,25828.0
2024-10-10 19:58:00,134.7,134.72,134.69,134.72,17638.0
2024-10-10 19:57:00,134.7003,134.72,134.69,134.7005,24218.0
2024-10-10 19:56:00,134.72,134.73,134.7,134.705,23139.0
2024-10-10 19:55:00,134.7299,134.74,134.72,134.7295,10772.0
2024-10-10 19:54:00,134.73,134.74,134.72,134.72,11470.0
2024-10-10 19:53:00,134.71,134.74,134.7,134.72,14638.0
2024-10-10 19:52:00,134.72,134.72,134.69,134.7199,7014.0
2024-10-10 19:51:00,134.73,134.73,134.6915,134.7188,8993.0
2024-10-10 19:50:00,134.67,134.73,134.67,134.7203,25893.0
2024-10-10 19:49:00,134.69,134.71,134.67,134.675,4322.0
2024-10-10 19:48:00,134.72,134.72,134.69,134.7,15390.0
2024-10-10 19:47:00,134.73,134.73,134.71,134.71,19959.0
2024-10-10 19:46:00,134.78,134.79,134.711,134.73,18474.0
2024-10-10 19:45:00,134.7995,134.8,134.78,134.79,5704.0
2024-10-10 19:44:00,134.78,134.8,134.78,134.8,8001.0
2024-10-10 19:43:00,134.79,134.8,134.78,134.781,5205.0
2024-10-10 19:42:00,134.78,134.79,134.77,134.78,9000.0
2024-10-10 19:41:00,134.79,134.8,134.77,134.7899,5007.0
2024-10-10 19:40:00,134.78,134.8,134.77,134.795,4144.0
2024-10-10 19:39:00,134.789,134.79,134.78,134.78,3436.0
2024-10-10 19:38:00,134.79,134.79,134.77,134.79,1221.0
2024-10-10 19:37:00,134.7896,134.79,134.76,134.7897,4523.0
2024-10-10 19:36:00,134.78,134.79,134.78,134.79,2975.0
2024-10-10 19:35:00,134.78,134.79,134.77,134.78,4447.0
2024-10-10 19:34:00,134.77,134.7896,134.77,134.78,6584.0
2024-10-10 19:33:00,134.76,134.78,134.75,134.76,6374.0
2024-10-10 19:32:00,134.79,134.79,134.76,134.7732,5790.0
2024-10-10 19:31:00,134.785,134.79,134.78,134.785,4717.0
2024-10-10 19:30:00,134.79,134.79,134.78,134.78,2882.0
2024-10-10 19:29:00,134.79,134.79,134.78,134.78,3998.0
2024-10-10 19:28:00,134.785,134.79,134.78,134.785,2278.0
2024-10-10 19:27:00,134.79,134.79,134.78,134.79,2292.0
2024-10-10 19:26:00,134.785,134.79,134.78,134.785,5569.0
2024-10-10 19:25:00,134.79,134.79,134.78,134.79,3453.0
2024-10-10 19:24:00,134.7797,134.79,134.77,134.785,3168.0
2024-10-10 19:23:00,134.76,134.78,134.76,134.77,2025.0
2024-10-10 19:22:00,134.78,134.78,134.76,134.77,3616.0
2024-10-10 19:21:00,134.785,134.8,134.76,134.78,5525.0
2024-10-10 19:20:00,134.78,134.8,134.75,134.8,4354.0
2024-10-10 19:19:00,134.75,134.77,134.73,134.7508,3247.0
2024-10-10 19:18:00,134.79,134.8,134.73,134.77,4033.0
2024-10-10 19:17:00,134.77,134.8,134.76,134.79,19170.0
2024-10-10 19:16:00,134.73,134.77,134.73,134.76,4486.0
2024-10-10 19:15:00,134.73,134.76,134.71,134.745,9594.0
2024-10-10 19:14:00,134.7297,134.75,134.71,134.71,3085.0
2024-10-10 19:13:00,134.75,134.76,134.72,134.725,3230.0
2024-10-10 19:12:00,134.755,134.77,134.73,134.745,5450.0
2024-10-10 19:11:00,134.78,134.78,134.74,134.76,14005.0
2024-10-10 19:10:00,134.77,134.79,134.76,134.78,3843.0
2024-10-10 19:09:00,134.7878,134.789,134.76,134.76,2648.0
2024-10-10 19:08:00,134.79,134.79,134.77,134.7705,3365.0
2024-10-10 19:07:00,134.74,134.79,134.74,134.7801,11759.0
2024-10-10 19:06:00,134.74,134.74,134.73,134.74,5016.0
2024-10-10 19:05:00,134.74,134.74,134.72,134.74,6681.0
2024-10-10 19:04:00,134.7,134.74,134.7,134.739,4143.0
2024-10-10 19:03:00,134.7,134.72,134.6915,134.71,3186.0
2024-10-10 19:02:00,134.7,134.81,134.69,134.7,111301.0
2024-10-10 19:01:00,134.74,134.74,134.7,134.72,1129.0
2024-10-10 19:00:00,134.68,134.75,134.67,134.7375,8009.0
2024-10-10 18:59:00,134.675,134.7,134.67,134.68,2504.0
2024-10-10 18:58:00,134.7,134.7,134.6701,134.68,8536.0
2024-10-10 18:57:00,134.71,134.71,134.69,134.71,1543.0
2024-10-10 18:56:00,134.71,134.73,134.69,134.7,6616.0
2024-10-10 18:55:00,134.72,134.72,134.68,134.7,3610.0
2024-10-10 18:54:00,134.719,134.72,134.68,134.71,3831.0
2024-10-10 18:53:00,134.71,134.73,134.68,134.71,8375.0
2024-10-10 18:52:00,134.7301,134.7301,134.71,134.729,1568.0
2024-10-10 18:51:00,134.76,134.76,134.73,134.73,8693.0
2024-10-10 18:50:00,134.775,134.78,134.74,134.755,8802.0
2024-10-10 18:49:00,134.77,134.79,134.77,134.78,4876.0
