date,1. open,2. high,3. low,4. close,5. volume
2024-10-11 19:59:00,415.67,415.76,415.65,415.67,507.0
2024-10-11 19:58:00,415.76,415.76,415.646,415.646,47.0
2024-10-11 19:57:00,415.79,415.8,415.62,415.62,155.0
2024-10-11 19:56:00,415.805,415.805,415.62,415.79,4.0
2024-10-11 19:55:00,415.95,415.99,415.8,415.8,13.0
2024-10-11 19:54:00,415.8,415.85,415.7,415.805,51.0
2024-10-11 19:53:00,415.8,415.9807,415.62,415.805,69.0
2024-10-11 19:52:00,415.81,415.9715,415.68,415.9715,172.0
2024-10-11 19:51:00,415.805,415.8503,415.6369,415.6369,53.0
2024-10-11 19:50:00,415.99,415.99,415.65,415.85,182.0
2024-10-11 19:49:00,415.85,415.85,415.65,415.65,3.0
2024-10-11 19:48:00,415.65,415.7,415.65,415.65,313.0
2024-10-11 19:47:00,415.7,415.7,415.675,415.675,3.0
2024-10-11 19:46:00,415.675,415.74,415.675,415.7,32.0
2024-10-11 19:45:00,415.73,415.83,415.72,415.72,15.0
2024-10-11 19:44:00,415.74,415.74,415.66,415.73,42.0
2024-10-11 19:43:00,415.72,415.74,415.72,415.73,27.0
2024-10-11 19:42:00,415.74,415.78,415.66,415.74,56.0
2024-10-11 19:41:00,415.74,415.74,415.659,415.659,22.0
2024-10-11 19:40:00,415.71,415.75,415.65,415.7,232.0
2024-10-11 19:39:00,415.74,415.74,415.74,415.74,10.0
2024-10-11 19:38:00,415.765,415.8,415.7,415.765,329.0
2024-10-11 19:37:00,415.7,415.76,415.7,415.76,123.0
2024-10-11 19:36:00,415.81,415.81,415.7,415.73,50.0
2024-10-11 19:35:00,415.7037,415.83,415.7037,415.765,33.0
2024-10-11 19:34:00,415.83,415.84,415.7,415.7037,11.0
2024-10-11 19:33:00,415.8491,415.8491,415.775,415.775,27.0
2024-10-11 19:32:00,415.66,415.85,415.66,415.85,29.0
2024-10-11 19:31:00,415.74,415.83,415.63,415.63,23.0
2024-10-11 19:30:00,415.6363,415.74,415.62,415.735,241.0
2024-10-11 19:29:00,415.735,415.85,415.6212,415.631,61.0
2024-10-11 19:28:00,415.75,415.79,415.6,415.6,14.0
2024-10-11 19:27:00,415.85,415.85,415.675,415.75,9.0
2024-10-11 19:26:00,415.81,415.85,415.81,415.85,21.0
2024-10-11 19:25:00,415.85,415.85,415.5001,415.5001,23.0
2024-10-11 19:24:00,415.5,415.85,415.5,415.81,5.0
2024-10-11 19:23:00,415.5,415.8325,415.5,415.81,8.0
2024-10-11 19:22:00,415.675,415.85,415.5,415.81,7.0
2024-10-11 19:21:00,415.82,415.85,415.81,415.85,101.0
2024-10-11 19:20:00,415.85,415.85,415.7,415.81,176.0
2024-10-11 19:19:00,415.7,415.85,415.55,415.55,12.0
2024-10-11 19:18:00,415.725,415.85,415.725,415.725,3.0
2024-10-11 19:17:00,415.84,415.85,415.84,415.85,48.0
2024-10-11 19:16:00,415.83,415.85,415.83,415.85,83.0
2024-10-11 19:15:00,415.85,415.85,415.81,415.81,88.0
2024-10-11 19:14:00,415.7,415.84,415.7,415.785,22.0
2024-10-11 19:13:00,415.7,415.85,415.7,415.7,15.0
2024-10-11 19:12:00,415.8,415.84,415.7,415.84,32.0
2024-10-11 19:11:00,415.7,415.7,415.7,415.7,16.0
2024-10-11 19:10:00,415.78,415.78,415.7,415.7,40.0
2024-10-11 19:08:00,415.67,415.85,415.6,415.6,1058.0
2024-10-11 19:07:00,415.56,415.7,415.56,415.7,12.0
2024-10-11 19:06:00,415.56,415.56,415.56,415.56,2.0
2024-10-11 19:05:00,415.7,415.7,415.59,415.59,2.0
2024-10-11 19:04:00,415.66,415.7,415.38,415.59,37.0
2024-10-11 19:03:00,415.7,415.8,415.54,415.59,111.0
2024-10-11 19:02:00,415.7,415.7,415.54,415.54,14.0
2024-10-11 19:01:00,415.53,415.69,415.53,415.69,26.0
2024-10-11 19:00:00,415.35,415.7,415.35,415.53,16.0
2024-10-11 18:59:00,415.575,415.7988,415.575,415.7,72.0
2024-10-11 18:58:00,415.6,415.79,415.6,415.61,17.0
2024-10-11 18:57:00,415.6,415.85,415.35,415.85,42.0
2024-10-11 18:56:00,415.6,415.79,415.6,415.79,84.0
2024-10-11 18:55:00,415.7,415.85,415.35,415.35,23.0
2024-10-11 18:54:00,415.85,415.85,415.6,415.7,35.0
2024-10-11 18:53:00,415.6,415.825,415.35,415.35,10.0
2024-10-11 18:52:00,415.7,415.85,415.6,415.85,10.0
2024-10-11 18:51:00,415.829,415.829,415.4234,415.8,187.0
2024-10-11 18:50:00,415.85,415.85,415.6,415.6,9.0
2024-10-11 18:49:00,415.7,415.8558,415.67,415.67,42.0
2024-10-11 18:48:00,415.67,415.67,415.6,415.67,41.0
2024-10-11 18:47:00,415.73,415.73,415.35,415.6,130.0
2024-10-11 18:46:00,415.8,415.8,415.67,415.67,2.0
2024-10-11 18:45:00,415.68,415.68,415.68,415.68,6.0
2024-10-11 18:44:00,415.75,415.99,415.35,415.67,130.0
2024-10-11 18:43:00,415.8,415.99,415.67,415.67,10.0
2024-10-11 18:42:00,415.35,415.67,415.35,415.67,1007.0
2024-10-11 18:41:00,415.425,415.5,415.425,415.4985,1854.0
2024-10-11 18:40:00,415.425,415.5,415.35,415.44,25.0
2024-10-11 18:39:00,415.425,415.45,415.425,415.44,101.0
2024-10-11 18:38:00,415.425,415.5,415.425,415.425,302.0
2024-10-11 18:37:00,415.41,415.4925,415.35,415.4925,105.0
2024-10-11 18:36:00,415.425,415.5,415.41,415.5,61.0
2024-10-11 18:35:00,415.4991,415.5,415.425,415.425,76.0
2024-10-11 18:34:00,415.425,415.46,415.3537,415.425,12.0
