date,1. open,2. high,3. low,4. close,5. volume
2024-10-11 19:59:00,227.3975,227.4,227.35,227.375,3291.0
2024-10-11 19:58:00,227.375,227.4,227.37,227.4,49.0
2024-10-11 19:57:00,227.35,227.4,227.35,227.375,15.0
2024-10-11 19:56:00,227.35,227.4,227.35,227.35,226.0
2024-10-11 19:55:00,227.37,227.4,227.35,227.35,92.0
2024-10-11 19:54:00,227.37,227.38,227.37,227.37,34.0
2024-10-11 19:53:00,227.38,227.4,227.37,227.37,66.0
2024-10-11 19:52:00,227.41,227.41,227.35,227.41,106.0
2024-10-11 19:51:00,227.38,227.39,227.35,227.36,90.0
2024-10-11 19:50:00,227.406,227.406,227.37,227.37,101.0
2024-10-11 19:49:00,227.41,227.41,227.33,227.33,108.0
2024-10-11 19:48:00,227.4,227.41,227.36,227.41,6.0
2024-10-11 19:47:00,227.35,227.4,227.33,227.37,1051.0
2024-10-11 19:46:00,227.35,227.41,227.31,227.41,17.0
2024-10-11 19:45:00,227.36,227.36,227.35,227.35,8.0
2024-10-11 19:44:00,227.36,227.41,227.32,227.36,40.0
2024-10-11 19:43:00,227.32,227.41,227.32,227.33,295.0
2024-10-11 19:42:00,227.35,227.35,227.3,227.35,141.0
2024-10-11 19:41:00,227.3035,227.35,227.3035,227.325,103.0
2024-10-11 19:40:00,227.325,227.35,227.325,227.325,50.0
2024-10-11 19:39:00,227.3,227.35,227.3,227.35,36.0
2024-10-11 19:38:00,227.325,227.35,227.325,227.35,12.0
2024-10-11 19:37:00,227.3488,227.35,227.3,227.325,610.0
2024-10-11 19:36:00,227.35,227.35,227.325,227.325,541.0
2024-10-11 19:35:00,227.38,227.38,227.34,227.34,325.0
2024-10-11 19:34:00,227.36,227.38,227.3415,227.37,79.0
2024-10-11 19:33:00,227.35,227.36,227.34,227.36,143.0
2024-10-11 19:32:00,227.365,227.38,227.342,227.36,33.0
2024-10-11 19:31:00,227.41,227.41,227.35,227.36,116.0
2024-10-11 19:30:00,227.38,227.4099,227.38,227.38,126.0
2024-10-11 19:29:00,227.38,227.41,227.38,227.41,19.0
2024-10-11 19:28:00,227.4,227.41,227.36,227.38,112.0
2024-10-11 19:27:00,227.405,227.41,227.36,227.385,101.0
2024-10-11 19:26:00,227.4075,227.41,227.36,227.36,9.0
2024-10-11 19:25:00,227.41,227.41,227.38,227.38,5.0
2024-10-11 19:24:00,227.36,227.41,227.35,227.41,33.0
2024-10-11 19:23:00,227.3401,227.41,227.3401,227.41,421.0
2024-10-11 19:22:00,227.35,227.37,227.34,227.37,214.0
2024-10-11 19:21:00,227.4445,227.45,227.34,227.3435,518.0
2024-10-11 19:20:00,227.35,227.45,227.34,227.395,48.0
2024-10-11 19:19:00,227.4,227.4,227.35,227.35,146.0
2024-10-11 19:18:00,227.36,227.45,227.35,227.35,10.0
2024-10-11 19:17:00,227.35,227.42,227.35,227.415,252.0
2024-10-11 19:16:00,227.37,227.37,227.35,227.37,357.0
2024-10-11 19:15:00,227.37,227.39,227.37,227.37,7.0
2024-10-11 19:14:00,227.3512,227.39,227.3512,227.37,14.0
2024-10-11 19:13:00,227.37,227.389,227.35,227.37,239.0
2024-10-11 19:12:00,227.37,227.39,227.37,227.388,60.0
2024-10-11 19:11:00,227.37,227.39,227.35,227.37,48.0
2024-10-11 19:10:00,227.37,227.389,227.37,227.389,3.0
